                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.61292,                 0.9734,                0.94538,                 1.0026,                0.26068,                0.30258,                0.21939,                0.13714,                0.23443,                0.25317,                0.17117,                0.09882,                   1.48,                  4.743,                 2.9491,                 1.7276,             0.00062553,             0.00062553,             0.00062553
                     65,                0.63706,                  1.041,                0.95051,                 1.0391,                0.34357,                0.24747,                 0.2245,                0.14542,                0.29427,                0.22689,                 0.1811,                0.10763,                 1.5114,                 4.6609,                 2.9219,                 1.7567,             0.00062103,             0.00062103,             0.00062103
                     66,                 0.6289,                 0.9966,                0.90863,                0.98891,                0.24132,                0.30923,                0.19666,                 0.1313,                   0.22,                0.26854,                0.16485,                0.09275,                 1.5256,                 4.6214,                 2.9156,                 1.7815,             0.00061653,             0.00061653,             0.00061653
                     67,                0.62813,                0.94292,                0.89809,                   1.03,                0.23206,                0.30933,                0.19993,                0.12345,                0.22725,                 0.2799,                0.18007,                0.09089,                 1.5492,                  4.676,                 2.9338,                 1.7978,             0.00061203,             0.00061203,             0.00061203
                     68,                0.60684,                0.86179,                0.94806,                  1.028,                0.21182,                0.27071,                0.18438,                0.09427,                 0.1889,                0.22431,                0.15532,                0.07494,                 1.6711,                  4.636,                 3.0633,                 1.9126,             0.00060753,             0.00060753,             0.00060753
                     69,                 0.6488,                 1.0629,                 0.9242,                 1.0138,                0.22857,                0.27998,                0.18259,                 0.1075,                0.21118,                0.24702,                0.16263,                0.08016,                 1.6653,                 4.5531,                 3.1263,                 1.9391,             0.00060303,             0.00060303,             0.00060303
                     70,                0.61033,                 0.9543,                0.95816,                 1.0006,                0.22263,                0.25088,                0.19933,                0.12101,                0.21459,                0.23989,                0.20177,                0.09192,                 1.6527,                 4.6384,                 3.1282,                 1.9415,             0.00059853,             0.00059853,             0.00059853
                     71,                0.62415,                  1.031,                 0.9303,                 1.0313,                0.20903,                0.23198,                0.19108,                0.11291,                0.20966,                0.23289,                0.19354,                0.09007,                 1.6607,                 4.6438,                 3.1736,                 1.9567,             0.00059403,             0.00059403,             0.00059403
                     72,                0.60507,                0.96837,                0.94228,                 1.0224,                 0.2618,                0.17614,                0.17861,                0.09959,                0.28675,                0.18121,                0.17209,                0.08856,                 1.5608,                 4.5937,                 3.1171,                   1.89,             0.00058953,             0.00058953,             0.00058953
                     73,                  0.633,                   1.08,                0.87333,                 1.0024,                0.25203,                0.23026,                0.21265,                0.11727,                0.22813,                0.20488,                0.17966,                0.10498,                 1.5519,                 4.7222,                 3.0087,                  1.864,             0.00058503,             0.00058503,             0.00058503
                     74,                0.64164,                 1.0375,                 1.0012,                 1.0328,                0.28302,                0.26536,                0.23799,                0.13073,                0.22864,                0.24592,                0.19913,                0.11672,                 1.5233,                 4.6784,                 2.9305,                 1.8216,             0.00058053,             0.00058053,             0.00058053
                     75,                0.64866,                0.91735,                0.92072,                 1.0373,                0.29041,                0.31685,                0.26603,                0.16311,                 0.2734,                0.29555,                0.23893,                0.13993,                 1.4542,                 4.6212,                 2.7689,                 1.7599,             0.00057603,             0.00057603,             0.00057603
                     76,                0.60835,                 0.9315,                 0.8825,                 1.0332,                0.28073,                0.33694,                0.25071,                0.16114,                0.25386,                0.30214,                0.21035,                  0.121,                 1.4826,                 4.4738,                 2.8107,                 1.7511,             0.00057153,             0.00057153,             0.00057153
                     77,                0.60068,                0.94484,                0.79966,                 0.9805,                0.25345,                0.31831,                 0.2383,                 0.1519,                0.23564,                0.28702,                0.20184,                0.11433,                 1.4997,                 4.3528,                 2.9016,                  1.769,             0.00056703,             0.00056703,             0.00056703
                     78,                  0.591,                 1.0563,                0.88153,                 1.0011,                 0.2498,                0.32362,                 0.2331,                0.15923,                0.21142,                0.27251,                0.19676,                0.11679,                 1.5222,                  4.504,                 2.9441,                 1.7877,             0.00056253,             0.00056253,             0.00056253
                     79,                0.57038,                0.88291,                0.79964,                0.99839,                0.24412,                0.30225,                 0.2358,                0.16513,                0.20762,                 0.2504,                0.19945,                0.11959,                 1.5296,                 4.6578,                  2.902,                 1.7794,             0.00055804,             0.00055804,             0.00055804
                     80,                0.61785,                0.94034,                0.87874,                 1.0333,                0.32649,                0.35626,                0.29218,                0.20232,                  0.308,                 0.3255,                0.26266,                0.16649,                 1.5386,                 4.7409,                 2.8244,                 1.7804,             0.00055354,             0.00055354,             0.00055354
                     81,                 0.5971,                 1.0151,                0.81542,                0.99605,                0.30179,                0.33388,                0.26298,                0.18087,                 0.2868,                0.32806,                0.24418,                0.15097,                 1.5753,                 4.8549,                   2.92,                 1.8012,             0.00054904,             0.00054904,             0.00054904
                     82,                0.64547,                0.91223,                0.88429,                 1.0443,                0.24663,                0.31681,                0.24677,                0.16195,                0.25954,                0.23515,                 0.2176,                0.13639,                 1.6139,                 4.9057,                 3.0929,                 1.8406,             0.00054454,             0.00054454,             0.00054454
                     83,                0.58183,                0.91766,                 0.8726,                 1.0136,                 0.2682,                 0.2937,                0.21699,                0.14957,                0.21774,                0.24722,                0.18793,                0.11871,                 1.6498,                 4.8526,                 3.2115,                 1.8547,             0.00054004,             0.00054004,             0.00054004
                     84,                0.59014,                0.96683,                0.83136,                0.99149,                0.28247,                0.30182,                0.23329,                0.15325,                0.26792,                0.26022,                0.21349,                0.13096,                 1.6691,                 4.6846,                 3.0656,                  1.883,             0.00053554,             0.00053554,             0.00053554
                     85,                0.58553,                0.87147,                0.83621,                 1.0001,                0.29286,                0.31082,                0.24734,                0.16184,                  0.244,                0.26333,                0.22207,                0.13348,                 1.6045,                 4.7631,                 2.9901,                 1.8568,             0.00053104,             0.00053104,             0.00053104
                     86,                0.60378,                0.91165,                0.79341,                 1.0028,                0.29715,                0.29314,                0.25451,                0.16414,                0.26152,                0.23857,                 0.2252,                0.13001,                 1.5648,                 4.5654,                 2.9473,                 1.8005,             0.00052654,             0.00052654,             0.00052654
                     87,                0.55835,                0.82723,                0.78384,                0.95666,                 0.2606,                0.31607,                0.23232,                0.15364,                0.22838,                0.29057,                0.22175,                0.12437,                 1.5223,                 4.4421,                 2.9657,                 1.7545,             0.00052204,             0.00052204,             0.00052204
                     88,                0.59128,                  0.941,                0.82723,                 1.0132,                0.29672,                0.33448,                0.26994,                 0.1698,                 0.2739,                0.31579,                0.25048,                0.13623,                 1.5582,                 4.1934,                 2.8655,                 1.8155,             0.00051754,             0.00051754,             0.00051754
                     89,                0.57167,                0.80331,                0.77163,                0.96828,                 0.2806,                0.35813,                0.27517,                0.18167,                0.37683,                0.24682,                0.25824,                0.14638,                 1.5375,                  4.155,                 2.7983,                 1.8083,             0.00051304,             0.00051304,             0.00051304
                     90,                0.56096,                0.86639,                0.80954,                0.98093,                0.36781,                0.27291,                0.25487,                0.17371,                0.36833,                0.25265,                0.23895,                0.13666,                 1.5418,                 4.1499,                 2.7967,                 1.8124,             0.00050854,             0.00050854,             0.00050854
                     91,                0.52617,                0.77583,                0.82108,                0.99083,                0.30778,                0.27713,                0.23432,                0.15448,                0.25675,                0.24204,                0.21115,                0.11732,                 1.4851,                 4.2919,                 2.8519,                 1.7441,             0.00050404,             0.00050404,             0.00050404
                     92,                0.58851,                0.86676,                0.76834,                 1.0099,                0.20492,                 0.2095,                0.15258,                 0.0951,                0.15748,                 0.1561,                0.12484,                0.07078,                 1.4795,                 4.5721,                 3.0788,                 1.7317,             0.00049954,             0.00049954,             0.00049954
                     93,                0.57057,                0.96813,                0.77364,                 1.0062,                0.21985,                0.20979,                0.15482,                0.08242,                0.15612,                 0.1491,                 0.1068,                0.05576,                 1.4976,                 4.8197,                 3.1662,                  1.767,             0.00049504,             0.00049504,             0.00049504
                     94,                0.59828,                0.89449,                0.82611,                0.99791,                0.27037,                0.19663,                0.17633,                0.08624,                0.21962,                0.11908,                0.12116,                0.05856,                 1.5919,                 5.0037,                 3.1829,                 1.8504,             0.00049054,             0.00049054,             0.00049054
                     95,                0.53963,                0.81983,                0.76278,                0.97069,                  0.226,                0.24442,                0.18141,                0.09708,                0.16547,                0.20114,                0.14138,                0.07122,                 1.5667,                 4.9748,                 3.0762,                 1.8383,             0.00048604,             0.00048604,             0.00048604
                     96,                0.56265,                0.88129,                0.75642,                0.97859,                0.23985,                0.28654,                0.21271,                0.12289,                0.30967,                0.19422,                0.19263,                0.10605,                 1.4937,                 4.5188,                 2.9385,                 1.7761,             0.00048154,             0.00048154,             0.00048154
                     97,                0.58163,                0.86271,                0.78891,                0.99555,                0.25231,                0.27784,                0.21375,                0.12684,                0.23789,                0.19738,                0.17181,                0.10865,                 1.4481,                 4.3496,                 2.8656,                 1.7383,             0.00047704,             0.00047704,             0.00047704
                     98,                0.50737,                0.74937,                0.76433,                0.97578,                0.34839,                0.22835,                0.24765,                0.15708,                 0.2282,                0.24027,                0.21422,                0.13862,                  1.453,                 4.2382,                 2.8399,                 1.7525,             0.00047254,             0.00047254,             0.00047254
                     99,                0.52386,                0.78524,                0.74322,                0.96691,                0.37868,                0.23317,                0.24943,                0.17067,                0.33345,                0.21781,                0.23064,                0.14498,                 1.4727,                 4.1394,                 2.8456,                 1.7497,             0.00046804,             0.00046804,             0.00046804
                    100,                0.57352,                0.84911,                0.80251,                 1.0093,                0.32434,                 0.3026,                0.27939,                0.19984,                0.29758,                0.28483,                0.25732,                0.15497,                 1.4899,                 3.9769,                 2.9125,                  1.747,             0.00046354,             0.00046354,             0.00046354
                    101,                0.51776,                0.74751,                0.76704,                0.93832,                0.32338,                0.32812,                0.25577,                0.17289,                0.29207,                0.29721,                0.23635,                0.14345,                 1.5233,                 4.0077,                 2.9441,                 1.8016,             0.00045904,             0.00045904,             0.00045904
                    102,                0.55996,                0.83198,                0.77016,                0.98372,                0.31235,                0.32231,                0.25504,                0.16149,                0.28445,                 0.2924,                0.23939,                0.13872,                 1.5712,                 4.0804,                 2.9723,                 1.8328,             0.00045455,             0.00045455,             0.00045455
